,Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp,cleaned_post_body,sentiment
49,WWF,@WWF,"https://pbs.twimg.com/media/E0UROzVXoAISu__?format=jpg&name=small, https://pbs.twimg.com/media/E0UROzVXoAISu__?format=jpg&name=small",384,1000,21,250000,https://x.com/WWF/status/1388535673624408064,https://x.com/WWF,"We are destabilizing our climate and pushing nature to the brink. Itâs time to change course.

What are the key âmust havesâ to secure a #NaturePositive world by 2030? #COP15",05-01-2021,2021-05-01T16:47:56.000Z,destabilizing climate pushing nature brink time change course key must have secure naturepositive world cop,NEGATIVE
50,Nature Positive,@NatureDeal,"https://pbs.twimg.com/amplify_video_thumb/1526877747326377984/img/m2jlBAxZvjPtDzwO.jpg, https://pbs.twimg.com/amplify_video_thumb/1526877747326377984/img/m2jlBAxZvjPtDzwO.jpg, https://pbs.twimg.com/amplify_video_thumb/1526877747326377984/img/m2jlBAxZvjPtDzwO.jpg",37,761,4,14900,https://x.com/NatureDeal/status/1538838832807804929,https://x.com/NatureDeal,you'll notice people actually committed to sustainability orient their work around the intangible ways of obtaining eco justice. sustainable baddie website for example has posts every single week just telling you GOOD ENVIRONMENTAL NEWS which combats climate environmental doom,20-06-2022,2022-06-20T10:59:02.000Z,youll notice people actually committed sustainability orient work around intangible way obtaining eco justice sustainable baddie website example post every single week telling good environmental news combat climate environmental doom,POSITIVE
51,Nature Positive,@NatureDeal,"https://pbs.twimg.com/amplify_video_thumb/1540294892768960512/img/6ha2iAtzw4Q1sXzE.jpg, https://pbs.twimg.com/amplify_video_thumb/1540294892768960512/img/6ha2iAtzw4Q1sXzE.jpg, https://pbs.twimg.com/amplify_video_thumb/1540294892768960512/img/6ha2iAtzw4Q1sXzE.jpg",31,294,5,3000,https://x.com/NatureDeal/status/1540296348519497729,https://x.com/NatureDeal,"#Nature is in CRISIS. A global goal that sets nature on the road to recovery by 2030 will protect people and the planet.

World leaders must take ambitious action for an #Equitable #NetZero #NaturePositive world.

New paper  https://f.hubspotusercontent20.net/hubfs/4783129/Nature%20Positive%20The%20Global%20Goal%20for%20Nature%20paper.pdfâ¦ 
#ForNature",24-06-2022,2022-06-24T11:30:41.000Z,nature crisis global goal set nature road recovery protect people planet world leader must take ambitious action equitable netzero naturepositive world new paper httpsfhubspotusercontentnethubfsnaturepositivetheglobalgoalfornaturepaperpdf fornature,NEGATIVE
52,thatadult,@rianphin,"https://pbs.twimg.com/media/F3hdRGGWoAAW-y3?format=jpg&name=900x900, https://pbs.twimg.com/media/F3hdRGGWoAAW-y3?format=jpg&name=900x900",36,344,4,17000,https://x.com/rianphin/status/1691204215543148545,https://x.com/rianphin,"Bhutan is the worldâs only carbon negative country: this means the carbon emissions the country produces are not only offset, but are now in the negative due to the generation and exportation of renewable energy http://bit.ly/2EKDep8",15-08-2023,2023-08-14T21:44:40.000Z,bhutan world carbon negative country mean carbon emission country produce offset negative due generation exportation renewable energy httpbitlyekdep,NEGATIVE
53,Nature Positive,@NatureDeal,"https://pbs.twimg.com/ext_tw_video_thumb/1388099630823583755/pu/img/w3yLqDW8jMmfgzuy.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1388099630823583755/pu/img/w3yLqDW8jMmfgzuy.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1388099630823583755/pu/img/w3yLqDW8jMmfgzuy.jpg",66,191,4,779,https://x.com/NatureDeal/status/1388100021845954565,https://x.com/NatureDeal,"The more I look at global warming, the more skeptical I am

Bulk of existent/growing CO2 emmisions are in Asia

Renewables ineffective...if global warming was an existential threat then scientists should push Nuclear Energy

Yet current  strategy doesnât address any of this",30-04-2021,2021-04-30T11:56:49.000Z,look global warming skeptical bulk existentgrowing co emmisions asia renewables ineffectiveif global warming existential threat scientist push nuclear energy yet current strategy doesnt address,NEGATIVE
54,Massimo,@Rainmaker1973,"https://pbs.twimg.com/media/EA0Te0AXYAAK9ro?format=jpg&name=small, https://pbs.twimg.com/media/EA0Te0AXYAAK9ro?format=jpg&name=small",148,403,7,13000,https://x.com/Rainmaker1973/status/1156602100924788736,https://x.com/Rainmaker1973,The world's last proper monarchy of Bhutan is the only country in the world that's net carbon negative. It's enshrined in law that their forests mustn't be cut down. They promote happiness over economics and are very strict on immigration. I wonder why we never hear about them?,31-07-2019,2019-07-31T16:26:44.000Z,world last proper monarchy bhutan country world thats net carbon negative enshrined law forest mustnt cut promote happiness economics strict immigration wonder never hear,NEGATIVE
55,Gummi,@gummibear737,"https://pbs.twimg.com/media/ExhOzwyXMAUioMc?format=jpg&name=small, https://pbs.twimg.com/media/ExhOzwyXMAUioMc?format=jpg&name=small",174,841,112,294000,https://x.com/gummibear737/status/1375936342228615169,https://x.com/gummibear737,"Somebody said I should focus more on positive and not negative
Fact is I should do both
If people are not aware of the negative things that are happening such as building a mega city in the Borneo jungle and destroying Orangutan home as well as fueling warming how can we stop it",27-03-2021,2021-03-27T22:22:42.000Z,somebody said focus positive negative fact people aware negative thing happening building mega city borneo jungle destroying orangutan home well fueling warming stop,NEGATIVE
56,The Aureus Press,@Trad_West_Art,,53,596,28,70000,https://x.com/Trad_West_Art/status/1633414761139380225,https://x.com/Trad_West_Art,"Donât dilute the term Nature Positive https://nature.com/articles/s41559-022-01845-5â¦

Nature Positive is being used by businesses, governments and NGOs, but its meaning risks being diluted from measurable net biodiversity gain towards merely any action that benefits nature, argues @EJMilnerGulland",03-08-2023,2023-03-08T10:30:01.000Z,dont dilute term nature positive httpsnaturecomarticless nature positive used business government ngo meaning risk diluted measurable net biodiversity gain towards merely action benefit nature argues ejmilnergulland,NEGATIVE
57,GO GREEN,@ECOWARRIORSS,"https://pbs.twimg.com/media/FM10ehSXoAc-nBs?format=png&name=small, https://pbs.twimg.com/media/FM10ehSXoAc-nBs?format=png&name=small",78,200,10,1200,https://x.com/ECOWARRIORSS/status/1498982329427107841,https://x.com/ECOWARRIORSS,"What could a #NaturePositive economy mean for people and the planet?

#NowReading A #NaturePositive World: The Global Goal for Nature: https://f.hubspotusercontent20.net/hubfs/4783129/Nature%20Positive%20The%20Global%20Goal%20for%20Nature%20paper.pdfâ¦",03-02-2022,2022-03-02T11:23:31.000Z,could naturepositive economy mean people planet nowreading naturepositive world global goal nature httpsfhubspotusercontentnethubfsnaturepositivetheglobalgoalfornaturepaperpdf,NEGATIVE
58,NatureEcoEvo,@NatureEcoEvo,"https://pbs.twimg.com/media/FZpw6sXWAAEgpxq?format=jpg&name=small, https://pbs.twimg.com/media/FZpw6sXWAAEgpxq?format=jpg&name=small",134,240,4,500,https://x.com/NatureEcoEvo/status/1556680870609952779,https://x.com/NatureEcoEvo,"Bhutan is not only carbon neutral, itâs carbon negative. See the conviction in which they have linked the protected areas, while we are busy dissecting our corridors",08-08-2022,2022-08-08T16:36:55.000Z,bhutan carbon neutral carbon negative see conviction linked protected area busy dissecting corridor,NEGATIVE
59,ipbes,@IPBES,"https://pbs.twimg.com/media/E1CGiI-WEAIP7Sa?format=png&name=small, https://pbs.twimg.com/media/E1CGiI-WEAIP7Sa?format=png&name=small",187,353,3,1700,https://x.com/IPBES/status/1391760512229298184,https://x.com/IPBES,"As the ocean loses fish and gains plastics, it's easy to lose hope in our planet. But a brighter future IS possible. 

This #WorldEnvironmentDay, here are 12 global trends that will leave you feeling hopeful for the future. http://bit.ly/2JqW8qJ",05-10-2021,2021-05-10T14:22:18.000Z,ocean loses fish gain plastic easy lose hope planet brighter future possible worldenvironmentday global trend leave feeling hopeful future httpbitlyjqwqj,POSITIVE
60,Susanta Nanda,@susantananda3,https://pbs.twimg.com/ext_tw_video_thumb/1143141581580427265/pu/img/mnwIGzDRjuy9r-Gv.jpg,264,460,10,785,https://x.com/susantananda3/status/1143141811382181893,https://x.com/susantananda3,"Leaders: the clock is ticking 

For people and nature, we canât risk #COP15 being a failure. Right now, it hangs in the balance

Our planet is in a state of emergency. Our lives depend on things turning around

RT if you want an ambitious global agreement for nature #SaveCOP15",24-06-2019,2019-06-24T13:00:21.000Z,leader clock ticking people nature cant risk cop failure right hang balance planet state emergency life depend thing turning around rt want ambitious global agreement nature savecop,NEGATIVE
61,The Nature Conservancy,@nature_org,"https://pbs.twimg.com/media/De8s5IjX0AEc3v2?format=jpg&name=small, https://pbs.twimg.com/media/De8s5IjX0AEc3v2?format=jpg&name=small",141,248,3,336,https://x.com/nature_org/status/1004070603912110087,https://x.com/nature_org,"Latest data show shocking loss of wildlife populations. We need urgent and transformative action to save our natural world. 

@WWF_DG #ForNature #COP15 #LivingPlanet #LPR2022",06-05-2018,2018-06-05T18:41:01.000Z,latest data show shocking loss wildlife population need urgent transformative action save natural world wwfdg fornature cop livingplanet lpr,NEGATIVE
62,Nature Positive,@NatureDeal,https://pbs.twimg.com/ext_tw_video_thumb/1604260422059704320/pu/img/xrfjSP4qlMPMnFGb.jpg,257,1700,26,432000,https://x.com/NatureDeal/status/1604260474199097344,https://x.com/NatureDeal,"Unbelievable, isnât it?

Pollution, #ClimateChange & overfishing are just some of the threats affecting freshwater species like these.

This CANNOT continue. 

#ForALivingPlanet we need leaders to prioritize an ambitious global biodiversity agreement at #COP15 in December.",17-12-2022,2022-12-17T23:41:17.000Z,unbelievable isnt pollution climatechange overfishing threat affecting freshwater specie like continue foralivingplanet need leader prioritize ambitious global biodiversity agreement cop december,NEGATIVE
63,Nature Positive,@NatureDeal,"https://pbs.twimg.com/media/FfBOOUZXoAEw5W-?format=jpg&name=small, https://pbs.twimg.com/media/FfBOOUZXoAEw5W-?format=jpg&name=small",130,823,10,19000,https://x.com/NatureDeal/status/1580849836693557249,https://x.com/NatureDeal,"#Breaking: Ahead of #post2020 negotiations kicking off in Geneva, new WWF report finds an enormous gap between existing nature commitments and the current First Draft global biodiversity agreement.

Leaders must step up for people & planet#NaturePositive
https://wwf.panda.org/wwf_news/press_releases/?5254441/Governments-collectively-failing-on-nature-pledges-finds-new-WWF-reportâ¦",14-10-2022,2022-10-14T09:15:46.000Z,breaking ahead post negotiation kicking geneva new wwf report find enormous gap existing nature commitment current first draft global biodiversity agreement leader must step people planetnaturepositive httpswwfpandaorgwwfnewspressreleasesgovernmentscollectivelyfailingonnaturepledgesfindsnewwwfreport,NEGATIVE
64,Nature Positive,@NatureDeal,,544,6500,21,2800000,https://x.com/NatureDeal/status/1580482397472276480,https://x.com/NatureDeal,"The world is neither good or bad - itâs objectively neutral.

That is, if you go on seeking reasons to be sad about, itâll offer plenty of them to you.

But, similarly, if you focus on reasons for you to be happy, youâll find plenty of those too.",13-10-2022,2022-10-13T08:55:42.000Z,world neither good bad objectively neutral go seeking reason sad itll offer plenty similarly focus reason happy youll find plenty,POSITIVE
65,Nature Positive,@NatureDeal,"https://pbs.twimg.com/media/FNZCxpAX0AEpUZG?format=jpg&name=small, https://pbs.twimg.com/media/FNZCxpAX0AEpUZG?format=jpg&name=small",171,817,11,120000,https://x.com/NatureDeal/status/1501461180765855744,https://x.com/NatureDeal,"Right now, governments are meeting in Nairobi for UN talks aiming to reach consensus ahead of #COP15 on a global plan to address the worldâs catastrophic loss of nature

RT to join us and call for a âParisâ-style agreement capable of driving action NOW for a #NaturePositive world",03-09-2022,2022-03-09T07:33:35.000Z,right government meeting nairobi un talk aiming reach consensus ahead cop global plan address world catastrophic loss nature rt join u call parisstyle agreement capable driving action naturepositive world,POSITIVE
66,Paras Chopra,@paraschopra,,47,416,11,13900,https://x.com/paraschopra/status/1559089915782057985,https://x.com/paraschopra,"''Biodiversity holds the key to our planet's future. By 2030, let's halt and reverse biodiversity loss, ensuring MORE nature by the decade's end.''

Hear from Marco Lambertini, @WWF_SpecEnvoy, on #BiodiversityDay

#FromAgreementToAction #NaturePositive #BuildBackBiodiversity",15-08-2022,2022-08-15T08:09:37.000Z,biodiversity hold key planet future let halt reverse biodiversity loss ensuring nature decade end hear marco lambertini wwfspecenvoy biodiversityday fromagreementtoaction naturepositive buildbackbiodiversity,NEGATIVE
67,Nature Positive,@NatureDeal,"https://pbs.twimg.com/ext_tw_video_thumb/1539614224103645184/pu/img/64cQKQQQAXeH4D45.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1539614224103645184/pu/img/64cQKQQQAXeH4D45.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1539614224103645184/pu/img/64cQKQQQAXeH4D45.jpg",35,345,1,809,https://x.com/NatureDeal/status/1539614284564553730,https://x.com/NatureDeal,"To the leaders and decision makers attending #COP15, the @UNBiodiversity Conference: the world is watching. 

Nature is in crisis - we must not miss this opportunity to secure a 'Paris'-style agreement that turns the tide on biodiversity loss. 

#TeamEarth #NaturePositive",22-06-2022,2022-06-22T14:20:24.000Z,leader decision maker attending cop unbiodiversity conference world watching nature crisis must miss opportunity secure parisstyle agreement turn tide biodiversity loss teamearth naturepositive,NEGATIVE
68,Nature Positive,@NatureDeal,"https://pbs.twimg.com/ext_tw_video_thumb/1660615948494094337/pu/img/eO33qvfBXwI3G1QE.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1660615948494094337/pu/img/eO33qvfBXwI3G1QE.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1660615948494094337/pu/img/eO33qvfBXwI3G1QE.jpg",40,538,4,40000,https://x.com/NatureDeal/status/1660616578503778310,https://x.com/NatureDeal,"Carbon emissions:

China: Very high and rising again after a plateau

U.S.: Down substantially but rising again

Europe: Down substantially and still falling (but slowly)

India: Low but rising steadily

All Others: High and rising steadily",22-05-2023,2023-05-22T12:00:19.000Z,carbon emission china high rising plateau u substantially rising europe substantially still falling slowly india low rising steadily others high rising steadily,NEGATIVE
69,Nature Positive,@NatureDeal,https://pbs.twimg.com/ext_tw_video_thumb/1598681820631121920/pu/img/5STOoiA_eTv3tIcw.jpg,84,350,19,752,https://x.com/NatureDeal/status/1598682579288223744,https://x.com/NatureDeal,"The world must come together for our one shared home - the future of humanity depends on it.

Right now discussions are taking place that can help us move to a #NaturePositive future. RT to support an ambitious #post2020 Global Biodiversity Framework. #COP15",12-02-2022,2022-12-02T14:16:43.000Z,world must come together one shared home future humanity depends right discussion taking place help u move naturepositive future rt support ambitious post global biodiversity framework cop,POSITIVE
70,Noah Smith,@Noahpinion,https://pbs.twimg.com/media/DuKDfENX4AAguvX?format=jpg&name=small,210,339,18,99000,https://x.com/Noahpinion/status/1072564413289431040,https://x.com/Noahpinion,"The good: we are currently headed toward less global warming than pre-Paris (~3C vs ~4C). 

The bad: a given temp. rise is more harmful than we thought.

The ugly: thinking in binary terms (we are either doomed or not), rather than recognizing every bit of GHG reduction is a win.",12-11-2018,2018-12-11T18:50:58.000Z,good currently headed toward le global warming preparis c v c bad given temp rise harmful thought ugly thinking binary term either doomed rather recognizing every bit ghg reduction win,NEGATIVE
71,Nature Positive,@NatureDeal,,16,454,2,204000,https://x.com/NatureDeal/status/1540351272683032576,https://x.com/NatureDeal,"Nature is in crisis.

We need more solutions like this to build a world where people and nature thrive.

RT if you want to see more action from world leaders #ForALivingPlanet at #COP15 #LivingPlanet #LPR2022 #NaturePositive",24-06-2022,2022-06-24T15:08:56.000Z,nature crisis need solution like build world people nature thrive rt want see action world leader foralivingplanet cop livingplanet lpr naturepositive,POSITIVE
72,Emil Dimanchev,@EmilDimanchev,,72,310,20,55000,https://x.com/EmilDimanchev/status/1418932701911044099,https://x.com/EmilDimanchev,"Our world faces many interconnected crises, putting nature and people at risk.

Government representatives are due to adopt a new global agreement #ForNature at #COP15. They must be bold and set us on the path to be #NaturePositive by 2030!

Read more https://explore.panda.org/cop15",24-07-2021,2021-07-24T13:54:53.000Z,world face many interconnected crisis putting nature people risk government representative due adopt new global agreement fornature cop must bold set u path naturepositive read httpsexplorepandaorgcop,NEGATIVE
73,Nature Positive,@NatureDeal,,112,1400,10,2600000,https://x.com/NatureDeal/status/1582373734656212992,https://x.com/NatureDeal,"We urgently need a shared global goal for nature, just like the 1.5C goal we already have for climate. 

Halting biodiversity loss is not enough, say @manupulgarvidal and @gavinedwardsWWF, we must be #NaturePositive by 2030.

#COP27 #COP15",18-10-2022,2022-10-18T14:11:12.000Z,urgently need shared global goal nature like c goal already climate halting biodiversity loss enough say manupulgarvidal gavinedwardswwf must naturepositive cop cop,NEGATIVE
74,Nature Positive,@NatureDeal,,274,2000,8,3200000,https://x.com/NatureDeal/status/1598331334249697280,https://x.com/NatureDeal,"People OR nature? 
For too long, economic & environmental interests have been pitted against each 
other. But it doesnât have to be an either or scenario. New science from @nature_org
shows a more sustainable future for all   http://nature.org/twopaths2050",12-01-2022,2022-12-01T15:01:00.000Z,people nature long economic environmental interest pitted doesnt either scenario new science natureorg show sustainable future httpnatureorgtwopaths,NEGATIVE
75,Nature Positive,@NatureDeal,,13,406,2,8000,https://x.com/NatureDeal/status/1538838607460540418,https://x.com/NatureDeal,"Always a bold take, but even bolder than usual with everyone talking a/b the Chernobyl miniseries, that disaster having proved once and for all that in non-capitalist countries, everyone cares about the environment and puts it first all the time, over their own agendas",20-06-2022,2022-06-20T10:58:08.000Z,always bold take even bolder usual everyone talking ab chernobyl miniseries disaster proved noncapitalist country everyone care environment put first time agenda,POSITIVE
76,Nature Positive,@NatureDeal,,511,9100,69,7900000,https://x.com/NatureDeal/status/1589576742586691587,https://x.com/NatureDeal,"The first 2 are no. 
Humans are a bigger pollutant so Iâm going with net positive for the environment",11-07-2022,2022-11-07T11:13:22.000Z,first human bigger pollutant im going net positive environment,POSITIVE
77,UN Environment Programme,@UNEP,"https://pbs.twimg.com/media/DpsVd9sW4AA4HPC?format=jpg&name=small, https://pbs.twimg.com/media/DpsVd9sW4AA4HPC?format=jpg&name=small",118,222,4,1100,https://x.com/UNEP/status/1052458544782614528,https://x.com/UNEP,"Our world is in a state of crisis and wildlife populations are plummeting 

But there is still time to secure a #NaturePositive world by 2030, says @WWF_DG calling on leaders to adopt an ambitious biodiversity agreement at #COP15.

#LivingPlanet #LPR2022",17-10-2018,2018-10-17T07:17:25.000Z,world state crisis wildlife population plummeting still time secure naturepositive world say wwfdg calling leader adopt ambitious biodiversity agreement cop livingplanet lpr,NEGATIVE
78,Jesse Singal,@jessesingal,"https://pbs.twimg.com/media/D9Ns4WsXsAEedRl?format=png&name=small, https://pbs.twimg.com/media/D9Ns4WsXsAEedRl?format=png&name=small",14,214,8,901,https://x.com/jessesingal/status/1140374968473141249,https://x.com/jessesingal,"A #NaturePositive world will benefit all people and the planet

Businesses, companies, NGOs & governments can get behind this global goal http://naturepositive.org

Next week, leaders @Davos #WEF22 must show they are prioritizing action on nature. #NaturePositive by 2030",16-06-2019,2019-06-16T21:45:54.000Z,naturepositive world benefit people planet business company ngo government get behind global goal httpnaturepositiveorg next week leader davos wef must show prioritizing action nature naturepositive,POSITIVE
79,Jennifer Gunter,@DrJenGunter,,14,200,23,777,https://x.com/DrJenGunter/status/1039266804059623424,https://x.com/DrJenGunter,"Here the optimistic view would be to say that it's better like this than having no wind farms or electric cars whatsoever, while the pessimistic view would be that it would give Elon or Total even more power to stop climate policies",09-10-2018,2018-09-10T21:38:09.000Z,optimistic view would say better like wind farm electric car whatsoever pessimistic view would would give elon total even power stop climate policy,NEGATIVE
80,Nature Positive,@NatureDeal,,126,1400,5,1500000,https://x.com/NatureDeal/status/1580556914869403648,https://x.com/NatureDeal,"As a #CarbonNegative country, #Bhutan is a global role model.
Even in the field of #Farming  Bhutan's innovative methods are helping overcome the challenges of shrinking land & food insecurity.

https://fao.org/newsroom/story/growing-food-out-of-water-in-bhutan/enâ¦

@FAOKnowledge",13-10-2022,2022-10-13T13:51:48.000Z,carbonnegative country bhutan global role model even field farming bhutan innovative method helping overcome challenge shrinking land food insecurity httpsfaoorgnewsroomstorygrowingfoodoutofwaterinbhutanen faoknowledge,NEGATIVE
81,Nature Positive,@NatureDeal,,191,3300,12,2300000,https://x.com/NatureDeal/status/1526878105935171584,https://x.com/NatureDeal,"Australia, Asia and north of it seems to be the most dramatic, itâs a shame to see the reduction of beautiful forests and wildlife habitats get cut down over the years. Itâs devastating and sad.",18-05-2022,2022-05-18T10:51:23.000Z,australia asia north seems dramatic shame see reduction beautiful forest wildlife habitat get cut year devastating sad,NEGATIVE
82,Picpus,@acecloula,,145,1,1,13,https://x.com/acecloula/status/1834636004403065141,https://x.com/acecloula,"Good: Committed to protecting the environment
Bad: Seem to have decided that the way to do that is not to reduce emissions/improve public transport, but to protect the existence of fields",13-09-2024,2024-09-13T16:51:23.000Z,good committed protecting environment bad seem decided way reduce emissionsimprove public transport protect existence field,NEGATIVE
83,Dr. Dinesh Shahra,@ShahraDinesh,,131,1,17,42,https://x.com/ShahraDinesh/status/1834231227756183900,https://x.com/ShahraDinesh,"Important to note that good negative emissions practices like putting carbon into soils & trees are a good thing, period - it's dubbing them offsets and creating a legal or moral excuse for failure to cut fossil fuel emissions that's problematic.",09-12-2024,2024-09-12T14:02:57.000Z,important note good negative emission practice like putting carbon soil tree good thing period dubbing offset creating legal moral excuse failure cut fossil fuel emission thats problematic,NEGATIVE
84,MrSolo4Dolo,@MrSolo4Dolo,,222,200,20,23,https://x.com/MrSolo4Dolo/status/1834594264682029544,https://x.com/MrSolo4Dolo,"None of this means everything's fine. It's not. But we do a disservice when we ignore the good news and exaggerate the bad. 

Our goal should be to understand the positives for people & nature â urbanization, agricultural productivity, reforestation â so we can do more of them.",13-09-2024,2024-09-13T14:05:32.000Z,none mean everythings fine disservice ignore good news exaggerate bad goal understand positive people nature urbanization agricultural productivity reforestation,NEGATIVE
85,keewa,@keewa,,5,270,2,3100,https://x.com/keewa/status/1795800822749573416,https://x.com/keewa,"Our planet is in crisis: nature loss, climate change and an increased risk of pandemics.

Thatâs why leaders must step up and secure a #NaturePositive world by 2030. #COP15",29-05-2024,2024-05-29T12:54:15.000Z,planet crisis nature loss climate change increased risk pandemic thats leader must step secure naturepositive world cop,NEGATIVE
86,Fred Iutzi,@FredIutzi,,14,181,2,223,https://x.com/FredIutzi/status/1358082655703736320,https://x.com/FredIutzi,"Our planet is in the red. We're destabilizing our climate and pushing nature to the brink. This year, world leaders have a momentous opportunity to change course for people & planet. A #NewDealForNature is needed to reverse nature loss, in support of #ClimateAction & #SDGs #WEF20",02-06-2021,2021-02-06T15:58:31.000Z,planet red destabilizing climate pushing nature brink year world leader momentous opportunity change course people planet newdealfornature needed reverse nature loss support climateaction sdgs wef,NEGATIVE
87,Michael Shellenberger,@shellenberger,,193,1000,30,3600000,https://x.com/shellenberger/status/1168036667464151045,https://x.com/shellenberger,"The science is clear: we're destabilizing our climate and pushing nature to the brink. This year, world leaders have a momentous opportunity to change course for people & planet. A #NewDealForNature is needed to reverse nature loss, in support of #ClimateAction and #SDGs #WEF20",09-01-2019,2019-09-01T05:43:37.000Z,science clear destabilizing climate pushing nature brink year world leader momentous opportunity change course people planet newdealfornature needed reverse nature loss support climateaction sdgs wef,NEGATIVE
88,Nature Positive,@NatureDeal,,35,310,2,987,https://x.com/NatureDeal/status/1356276871185506312,https://x.com/NatureDeal,"Our planet is in the red. We're destabilizing our climate & pushing nature to the brink. This year, world leaders have a momentous opportunity to change course for people & planet. A #NewDealForNature is needed to reverse nature loss, in support of #ClimateAction & SDGs #AUSummit",02-01-2021,2021-02-01T16:22:59.000Z,planet red destabilizing climate pushing nature brink year world leader momentous opportunity change course people planet newdealfornature needed reverse nature loss support climateaction sdgs ausummit,NEGATIVE
89,Nature Positive,@NatureDeal,"https://pbs.twimg.com/media/EOt4qETW4As7qWC?format=jpg&name=small, https://pbs.twimg.com/media/EOt4qETW4As7qWC?format=jpg&name=small",150,1100,20,347000,https://x.com/NatureDeal/status/1219201440121597952,https://x.com/NatureDeal,"Our planet is in the red Weâre destabilizing our climate and pushing nature to the brink. Join us this #EarthHour in calling for urgent action to rebalance our relationship with the natural world. #NatureMatters
 
Raise your #VoiceForThePlanet
http://Panda.org/voice",20-01-2020,2020-01-20T10:14:09.000Z,planet red destabilizing climate pushing nature brink join u earthhour calling urgent action rebalance relationship natural world naturematters raise voicefortheplanet httppandaorgvoice,NEGATIVE
90,Nature Positive,@NatureDeal,https://pbs.twimg.com/media/ELBo8HjXsAE9UMZ?format=jpg&name=small,162,1300,13,2300000,https://x.com/NatureDeal/status/1219198953008377856,https://x.com/NatureDeal,"Rapid & often unplanned urbanization has led to increased pressure on the environment.

To achieve the #GlobalGoals, we need to promote:
 Sustainable buildings
 Sound urban planning
 Low-carbon transport 
 Green spaces
 Sustainable lifestyles",20-01-2020,2020-01-20T10:04:16.000Z,rapid often unplanned urbanization led increased pressure environment achieve globalgoals need promote sustainable building sound urban planning lowcarbon transport green space sustainable lifestyle,POSITIVE
91,Nature Positive,@NatureDeal,"https://pbs.twimg.com/media/EOt4qETW4As7qWC?format=jpg&name=small, https://pbs.twimg.com/media/EOt4qETW4As7qWC?format=jpg&name=small",150,1100,20,579000,https://x.com/NatureDeal/status/1219201440121597952,https://x.com/NatureDeal,"#GlobalGoals are a universal call to action to end poverty, protect the planet and ensure that all people enjoy peace and prosperity. 17 goals to transform our world: https://bit.ly/2CzNPTV",20-01-2020,2020-01-20T10:14:09.000Z,globalgoals universal call action end poverty protect planet ensure people enjoy peace prosperity goal transform world httpsbitlycznptv,POSITIVE
92,Nature Positive,@NatureDeal,"https://pbs.twimg.com/media/ELBo8HjXsAE9UMZ?format=jpg&name=small, https://pbs.twimg.com/media/ELBo8HjXsAE9UMZ?format=jpg&name=small",162,1300,13,324000,https://x.com/NatureDeal/status/1219198953008377856,https://x.com/NatureDeal,"We all can do something to reach the #GlobalGoals for Sustainable Development by 2030 - from governments to private sector - and from civil society to individuals.
 See actions you can take: http://bit.ly/2yl00lg
 More about Global Goals: http://bit.ly/2O8g6tp",20-01-2020,2020-01-20T10:04:16.000Z,something reach globalgoals sustainable development government private sector civil society individual see action take httpbitlyyllg global goal httpbitlyogtp,POSITIVE
93,Nature Positive,@NatureDeal,"https://pbs.twimg.com/media/ELBo8HjXsAE9UMZ?format=jpg&name=small, https://pbs.twimg.com/media/ELBo8HjXsAE9UMZ?format=jpg&name=small",47,378,10,27000,https://x.com/NatureDeal/status/1226264443669094400,https://x.com/NatureDeal,"The key towards sustainability is: decoupling natural resource use, reducing environmental impacts from economic activity & improving human well-being. If achieved, it will deliver:
 Social benefits
 Environmental repair
 Economic growth
#GRO2019
http://bit.ly/2TOesiM",02-08-2020,2020-02-08T22:00:00.000Z,key towards sustainability decoupling natural resource use reducing environmental impact economic activity improving human wellbeing achieved deliver social benefit environmental repair economic growth gro httpbitlytoesim,NEGATIVE
94,Nature Positive,@NatureDeal,,253,1000,32,5800000,https://x.com/NatureDeal/status/1240880277192351745,https://x.com/NatureDeal,"In an increasingly urbanized world, cities can be drivers of economic growth, but they also account for over 70% of global emissions & are vulnerable to #ClimateCrisis impacts.

The #GlobalGoals aim to make cities inclusive, safe, resilient & sustainable: https://bit.ly/44z2B9l",20-03-2020,2020-03-20T05:58:07.000Z,increasingly urbanized world city driver economic growth also account global emission vulnerable climatecrisis impact globalgoals aim make city inclusive safe resilient sustainable httpsbitlyzbl,POSITIVE
95,UN Environment Programme,@UNEP,https://pbs.twimg.com/ext_tw_video_thumb/1208614273695571969/pu/img/da2VceWthpn2AWT4.jpg,191,368,13,700,https://x.com/UNEP/status/1208614306742505472,https://x.com/UNEP,"Sustainable energy presents an opportunity to transform lives & economies while safeguarding the planet

More than 80% of all new electricity capacity added in 2020 was renewable, with solar & wind accounting for 91%.

Let's keep up the momentum to ensure the future is clean.",22-12-2019,2019-12-22T05:04:40.000Z,sustainable energy present opportunity transform life economy safeguarding planet new electricity capacity added renewable solar wind accounting let keep momentum ensure future clean,POSITIVE
